Date,Lastes,Open,High,Low,Vol,Difference
1-Jan-17,888.9,963.4,"1,150.60",806.7,1.65M,-7.73%
8-Jan-17,819.6,888.9,936.1,739.5,641.94K,-7.79%
15-Jan-17,919.8,819.6,928.9,808.6,346.77K,12.23%
22-Jan-17,918.5,919.8,938.4,883.6,256.52K,-0.14%
29-Jan-17,"1,031.80",918.5,"1,041.00",911.5,282.01K,12.34%
5-Feb-17,"1,008.30","1,031.80","1,073.00",924.7,404.97K,-2.28%
12-Feb-17,"1,052.30","1,008.30","1,063.20",975.1,219.71K,4.36%
19-Feb-17,"1,149.10","1,052.30","1,211.70","1,037.70",373.70K,9.20%
26-Feb-17,"1,264.30","1,149.10","1,291.30","1,130.60",352.15K,10.03%
5-Mar-17,"1,179.20","1,264.30","1,330.40",988.7,563.14K,-6.73%
12-Mar-17,971.4,"1,179.20","1,260.20",940.2,700.54K,-17.63%
19-Mar-17,966.3,971.4,"1,125.50",890.4,691.92K,-0.52%
26-Mar-17,"1,086.10",966.3,"1,103.70",946.7,542.07K,12.40%
2-Apr-17,"1,180.80","1,086.10","1,201.60","1,074.20",495.23K,8.72%
9-Apr-17,"1,177.00","1,180.80","1,229.60",841.5,309.20K,-0.32%
16-Apr-17,"1,240.90","1,177.00","1,257.00","1,166.70",301.86K,5.43%
23-Apr-17,"1,336.30","1,240.90","1,356.20","1,223.10",364.25K,7.69%
30-Apr-17,"1,545.30","1,336.30","1,609.80","1,309.70",609.50K,15.64%
7-May-17,"1,763.70","1,545.30","1,864.80","1,495.20",689.31K,14.14%
14-May-17,"2,040.20","1,763.70","2,048.40","1,653.70",552.75K,15.67%
21-May-17,"2,052.40","2,040.20","2,781.80","1,868.60",1.18M,0.60%
28-May-17,"2,545.40","2,052.40","2,582.80","2,051.10",732.63K,24.02%
4-Jun-17,"2,900.30","2,545.40","2,931.20","2,478.20",710.05K,13.94%
11-Jun-17,"2,655.10","2,900.30","2,985.10","2,125.60",1.07M,-8.45%
18-Jun-17,"2,590.10","2,655.10","2,804.40","2,488.60",623.37K,-2.45%
25-Jun-17,"2,424.60","2,590.10","2,660.70","2,309.60",737.13K,-6.39%
2-Jul-17,"2,564.90","2,424.60","2,658.70","2,375.90",526.68K,5.78%
9-Jul-17,"1,975.10","2,564.90","2,576.70","1,974.00",777.01K,-22.99%
16-Jul-17,"2,836.50","1,975.10","2,932.80","1,809.00",1.35M,43.62%
