Type_of_Vehicle,Whole_Kingdom,Regional,Central,Eastern,North_Eastern,Northern,Western,Southern,
Sedan (Not more than 7 Pass.),7713843,3925415,363710,1547205,987414,927425,314684,772391,
Microbus & Passenger Van,428471,214169,29334,87648,58242,48983,19871,28333,
Van & Pick Up,6120598,4881006,379443,2065849,1474485,1199990,477601,758123,
Motortricycle,1637,811,371,92,45,156,35,157,
Interprovincial Taxi,9,9,0,2,1,4,0,3,
Urban Taxi,104467,3657,1,1815,1226,750,0,1091,
Fixed Route Taxi,3002,516,0,0,0,1,0,515,
Motortricycle Taxi (Tuk Tuk),20306,11319,3953,4615,1922,1694,838,219,
Hotel Taxi,3875,3164,41,47,42,205,139,2732,
Tour Taxi,4004,2617,5,0,0,0,0,2612,
Car For Hire,57,2,0,0,0,1,0,1,
Motorcycle,20304189,17024630,1138905,7047019,4875956,4072425,1760786,3005495,
Tractor,483404,396088,41711,206578,184487,115111,18264,14424,
Road Roller,12323,8884,690,3565,2619,2174,1110,1345,
Farm Vehicle,103133,103127,990,72070,71783,29586,435,46,
Automobile Trailer,3547,1490,94,1086,841,117,92,101,
Public Motorcycle,188094,96462,41188,23281,6228,5278,14246,12469,
