"Date","Last","Open","High","Low","Vol","% Changs"
"Oct 30, 2019","2.71","2.77","2.77","2.71","6.70M","-2.17%"
"Oct 29, 2019","2.77","2.88","2.88","2.76","9.43M","-3.82%"
"Oct 28, 2019","2.88","2.80","2.89","2.80","8.79M","2.86%"
"Oct 25, 2019","2.80","2.77","2.81","2.74","4.23M","1.08%"
"Oct 24, 2019","2.77","2.78","2.79","2.76","4.15M","-0.72%"
"Oct 23, 2019","2.79","2.78","2.81","2.76","4.52M","0.00%"
"Oct 22, 2019","2.79","2.80","2.81","2.76","4.80M","0.00%"
"Oct 21, 2019","2.79","2.82","2.82","2.73","5.49M","-1.06%"
"Oct 18, 2019","2.82","2.88","2.90","2.79","8.31M","-2.42%"
"Oct 17, 2019","2.89","2.87","2.92","2.87","5.82M","0.00%"
"Oct 16, 2019","2.89","2.86","2.93","2.85","9.25M","0.35%"
"Oct 15, 2019","2.88","2.83","2.92","2.83","19.91M","-5.88%"
"Oct 14, 2019","3.06","3.08","3.09","3.03","16.63M","0.00%"
"Oct 11, 2019","3.06","3.09","3.14","3.01","31.66M","-5.85%"
"Oct 10, 2019","3.25","3.20","3.52","3.19","42.35M","1.56%"
"Oct 09, 2019","3.20","3.14","3.20","3.03","11.74M","1.59%"
"Oct 08, 2019","3.15","3.18","3.23","3.12","11.59M","-1.56%"
"Sep 30, 2019","3.20","3.07","3.21","3.00","20.31M","4.58%"
"Sep 27, 2019","3.06","2.96","3.06","2.90","7.39M","4.08%"
"Sep 26, 2019","2.94","3.04","3.05","2.92","7.90M","-2.65%"
"Sep 25, 2019","3.02","3.09","3.11","3.02","6.73M","-2.89%"
"Sep 24, 2019","3.11","3.11","3.16","3.09","5.30M","-0.32%"
"Sep 23, 2019","3.12","3.15","3.15","3.07","4.81M","-0.95%"
"Sep 20, 2019","3.15","3.16","3.22","3.13","6.90M","-0.63%"
"Sep 19, 2019","3.17","3.20","3.26","3.14","9.49M","-1.25%"
"Sep 18, 2019","3.21","3.11","3.21","3.11","12.11M","2.88%"
"Sep 17, 2019","3.12","3.25","3.25","3.06","12.11M","-4.00%"
"Sep 16, 2019","3.25","3.25","3.28","3.21","10.20M","0.31%"
"Sep 12, 2019","3.24","3.24","3.25","3.20","7.42M","0.62%"
"Sep 11, 2019","3.22","3.31","3.31","3.21","10.07M","-1.53%"
"Sep 10, 2019","3.27","3.28","3.32","3.23","12.71M","0.93%"
"Sep 09, 2019","3.24","3.23","3.25","3.18","12.14M","1.89%"
"Sep 06, 2019","3.18","3.23","3.25","3.17","9.41M","-0.31%"
"Sep 05, 2019","3.19","3.18","3.23","3.16","13.88M","0.95%"
"Sep 04, 2019","3.16","3.19","3.19","3.13","8.11M","-0.94%"
"Sep 03, 2019","3.19","3.21","3.26","3.13","12.36M","0.63%"
"Sep 02, 2019","3.17","3.06","3.34","3.06","17.62M","3.59%"
"Aug 30, 2019","3.06","3.22","3.26","3.06","21.08M","-4.97%"
"Aug 29, 2019","3.22","3.09","3.39","3.07","28.88M","4.55%"
"Aug 28, 2019","3.08","3.16","3.18","3.07","12.71M","-1.28%"
"Aug 27, 2019","3.12","3.03","3.30","3.01","20.02M","2.97%"
"Aug 26, 2019","3.03","3.00","3.03","2.96","15.92M","-2.88%"
"Aug 23, 2019","3.12","3.39","3.40","3.12","31.25M","-5.17%"
"Aug 22, 2019","3.29","3.05","3.29","3.01","13.53M","10.03%"
"Aug 21, 2019","2.99","2.98","3.00","2.94","7.05M","0.67%"
"Aug 20, 2019","2.97","2.95","3.06","2.92","11.38M","0.68%"
"Aug 19, 2019","2.95","2.89","2.95","2.86","6.69M","3.51%"
"Aug 16, 2019","2.85","2.83","2.90","2.83","4.11M","0.35%"
"Aug 15, 2019","2.84","2.76","2.86","2.71","5.34M","-0.35%"
"Aug 14, 2019","2.85","2.96","3.02","2.82","5.51M","0.35%"
"Aug 13, 2019","2.84","2.85","2.87","2.79","4.09M","-1.39%"
"Aug 12, 2019","2.88","2.86","2.88","2.83","2.99M","1.77%"
"Aug 09, 2019","2.83","2.86","2.89","2.81","4.17M","0.00%"
"Aug 08, 2019","2.83","2.83","2.88","2.82","4.34M","0.35%"
"Aug 07, 2019","2.82","2.86","2.88","2.81","4.28M","-0.70%"
"Aug 06, 2019","2.84","2.98","2.98","2.76","9.88M","-5.65%"
"Aug 05, 2019","3.01","3.03","3.06","3.00","3.89M","-0.66%"
"Aug 02, 2019","3.03","3.03","3.06","3.01","5.52M","-1.62%"
"Aug 01, 2019","3.08","3.07","3.10","3.03","6.39M","0.33%"
"Jul 31, 2019","3.07","3.11","3.11","3.06","4.44M","-1.29%"
"Jul 30, 2019","3.11","3.11","3.14","3.08","5.56M","0.32%"
"Jul 29, 2019","3.10","3.18","3.18","3.04","6.93M","-2.21%"
